Country,City/station,"Annual mean PM10, ug/m3","Annual mean PM 2.5, ug/m3",year
United States of America,"Aberdeen, SD",13,8,2012
United States of America,"Adrian, MI",15,9,2012
United States of America,"Akron, OH",18,11,2012
United States of America,"Albany, GA",18,11,2012
United States of America,"Albany-Lebanon, OR",14,8,2012
United States of America,"Albany-Schenectady-Troy, NY",13,8,2012
United States of America,"Albuquerque, NM",12,7,2012
United States of America,"Alexandria, LA",20,12,2012
United States of America,"Allegan, MI",14,9,2012
United States of America,"Allentown-Bethlehem-Easton, PA-NJ",21,12,2012
United States of America,"Altoona, PA",19,12,2012
United States of America,"Anchorage, AK",13,8,2012
United States of America,"Anderson, IN",18,11,2012
United States of America,"Ann Arbor, MI",16,10,2012
United States of America,"Appleton, WI",14,9,2012
United States of America,"Asheville, NC",15,9,2012
United States of America,"Athens, OH",14,9,2012
United States of America,"Athens, TN",15,9,2012
United States of America,"Athens-Clarke County, GA",16,9,2012
United States of America,"Atlanta-Sandy Springs-Marietta, GA",23,14,2012
United States of America,"Atlantic City-Hammonton, NJ",14,8,2012
United States of America,"Augusta-Richmond County, GA-SC",18,11,2012
United States of America,"Augusta-Waterville, ME",14,9,2012
United States of America,"Austin-Round Rock, TX",17,10,2012
United States of America,"Bakersfield, CA",24,15,2012
United States of America,"Baltimore-Towson, MD",20,12,2012
United States of America,"Bangor, ME",12,7,2012
United States of America,"Baraboo, WI",17,10,2012
United States of America,"Baton Rouge, LA",19,11,2012
United States of America,"Bay City, MI",13,8,2012
United States of America,"Beaver Dam, WI",15,9,2012
United States of America,"Beckley, WV",14,8,2012
United States of America,"Bellingham, WA",7,4,2012
United States of America,"Bennington, VT",11,7,2012
United States of America,"Birmingham-Hoover, AL",20,12,2012
United States of America,"Bishop, CA",11,6,2012
United States of America,"Bismarck, ND",11,6,2012
United States of America,"Bloomington, IN",17,10,2012
United States of America,"Bloomington-Normal, IL",16,9,2012
United States of America,"Boise City-Nampa, ID",17,10,2012
United States of America,"Boone, NC",13,8,2012
United States of America,"Boston-Cambridge-Quincy, MA-NH",16,10,2012
United States of America,"Boulder, CO",12,7,2012
United States of America,"Bowling Green, KY",17,10,2012
United States of America,"Bradenton-Sarasota-Venice, FL",12,7,2012
United States of America,"Brainerd, MN",8,5,2012
United States of America,"Bremerton-Silverdale, WA",7,4,2012
United States of America,"Bridgeport-Stamford-Norwalk, CT",16,9,2012
United States of America,"Brigham City, UT",12,7,2012
United States of America,"Brookings, SD",14,9,2012
United States of America,"Brownsville-Harlingen, TX",16,10,2012
United States of America,"Brunswick, GA",13,8,2012
United States of America,"Buffalo-Niagara Falls, NY",16,9,2012
United States of America,"Burlington, NC",14,9,2012
United States of America,"Burlington-South Burlington, VT",12,7,2012
United States of America,"Butte-Silver Bow, MT",19,11,2012
United States of America,"Cadillac, MI",10,6,2012
United States of America,"Cambridge, MD",13,8,2012
United States of America,"Canton-Massillon, OH",21,12,2012
United States of America,"Cape Coral-Fort Myers, FL",12,7,2012
United States of America,"Casper, WY",9,5,2012
United States of America,"Cedar Rapids, IA",16,10,2012
United States of America,"Champaign-Urbana, IL",16,10,2012
United States of America,"Charleston, WV",18,11,2012
United States of America,"Charleston-North Charleston-Summerville, SC",16,10,2012
United States of America,"Charlotte-Gastonia-Concord, NC-SC",16,10,2012
United States of America,"Charlottesville, VA",13,8,2012
United States of America,"Chattanooga, TN-GA",18,11,2012
United States of America,"Cheyenne, WY",9,6,2012
United States of America,"Chicago-Naperville-Joliet, IL-IN-WI",22,13,2012
United States of America,"Chico, CA",12,7,2012
United States of America,"Cincinnati-Middletown, OH-KY-IN",23,14,2012
United States of America,"Clarksburg, WV",16,10,2012
United States of America,"Clarksville, TN-KY",16,10,2012
United States of America,"Clearlake, CA",7,4,2012
United States of America,"Cleveland-Elyria-Mentor, OH",24,15,2012
United States of America,"Clinton, IA",18,11,2012
United States of America,"Colorado Springs, CO",12,7,2012
United States of America,"Columbia, SC",17,10,2012
United States of America,"Columbia, TN",14,8,2012
