Country,City/Town,"Annual mean PM10, ug/m3",Year,note on converted PM10,"Annual mean PM2.5, ug/m3",Year,Number and type of monitoring stations (PM2.5),note on converted PM2.5,Temporal coverage
United States of America,"Adrian, MI",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Akron, OH",19,2014,converted from PM2.5,10,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Albany-Schenectady-Troy, NY",13,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Albuquerque, NM",12,2014,converted from PM2.5,6,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Alexandria, LA",14,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Allegan, MI",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Allentown-Bethlehem-Easton, PA-NJ",17,2014,converted from PM2.5,9,2014,"4 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Altoona, PA",21,2014,converted from PM2.5,11,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Anchorage, AK",9,2014,converted from PM2.5,5,2014,"5 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Anderson, IN",19,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Ann Arbor, MI",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Appleton, WI",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Asheville, NC",14,2014,converted from PM2.5,8,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Ashland, AL",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Athens, OH",14,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Athens, TN",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Athens-Clarke County, GA",19,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Atlanta-Sandy Springs-Marietta, GA",19,2014,converted from PM2.5,10,2014,"5 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Atlantic City, NJ",14,2014,converted from PM2.5,8,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Augusta-Richmond County, GA-SC",18,2014,converted from PM2.5,10,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Augusta-Waterville, ME",13,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Austin-Round Rock, TX",17,2014,converted from PM2.5,9,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Bakersfield, CA",18,2014,converted from PM2.5,10,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Baltimore-Towson, MD",18,2014,converted from PM2.5,10,2014,"7 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Baraboo, WI",14,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Baton Rouge, LA",16,2014,converted from PM2.5,8,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Battlement Mesa,Garfield,CO",7,2014,converted from PM2.5,4,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Bay City, MI",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Beaver Dam, WI",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Bellingham, WA",14,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Bennington, VT",12,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Birmingham-Hoover, AL",20,2014,converted from PM2.5,11,2014,"4 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Bishop, CA",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Bismarck, ND",8,2014,converted from PM2.5,5,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Bloomington, IN",18,2014,converted from PM2.5,10,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Boone, NC",13,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Boston-Cambridge-Quincy, MA-NH",12,2014,converted from PM2.5,7,2014,"11 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Boulder, CO",13,2014,converted from PM2.5,7,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Bowling Green, KY",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Brainerd, MN",9,2014,converted from PM2.5,5,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Bremerton-Silverdale, WA",9,2014,converted from PM2.5,5,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
