Country,City/Town,Year,"Annual mean PM10, ug/m3","Annual mean PM2.5, ug/m3",Temporal coverage,Number and type of monitoring stations,Database version (year)
United States of America,Adrian,2014,(16)-converted value,9,NA,-,2016
United States of America,Akron,2014,(19)-converted value,10,NA,-,2016
United States of America,Albany,2016,(18)-converted value,9,>75%,1 Suburban,2018
United States of America,Albany-Schenectady-Troy,2014,(13)-converted value,7,NA,-,2016
United States of America,Albuquerque,2016,(10)-converted value,5,50% -< 75%,1 Urban And Center City,2018
United States of America,Alexandria,2014,(14)-converted value,8,NA,-,2016
United States of America,Allegan,2014,(16)-converted value,9,NA,-,2016
United States of America,Allen Park,2016,(18)-converted value,9,>75%,1 Suburban,2018
United States of America,Allentown,2016,(22)-converted value,10,>75%,1 Suburban,2018
United States of America,Allentown-Bethlehem-Easton,2014,(17)-converted value,9,NA,-,2016
United States of America,Altoona,2016,(17)-converted value,8,>75%,1 Suburban,2018
United States of America,Anacortes,2015,(14)-converted value,7,>75%,1 Urban And Center City,2018
United States of America,Anaheim,2016,(20)-converted value,9,>75%,1 Suburban,2018
United States of America,Anchorage,2016,(12)-converted value,6,>75%,2 Suburban,2018
United States of America,Anderson,2015,(19)-converted value,9,50% -< 75%,1 Suburban,2018
United States of America,Ann Arbor,2014,(18)-converted value,10,NA,-,2016
United States of America,Anthony,2016,(16)-converted value,8,>75%,1 Rural,2018
United States of America,Apple Valley,2016,(14)-converted value,7,>75%,1 Suburban,2018
United States of America,Appleton,2014,(18)-converted value,9,>75%,1 Suburban,2018
United States of America,Arden-Arcade,2016,(18)-converted value,8,50% -< 75%,1 Suburban,2018
United States of America,Arnold,2016,(17)-converted value,8,>75%,1 Suburban,2018
United States of America,Arroyo Grande,2016,(17)-converted value,8,>75%,1 Rural,2018
United States of America,Asheville,2014,(14)-converted value,8,NA,-,2016
United States of America,Ashland,2014,(16)-converted value,9,NA,-,2016
United States of America,Atascadero,2016,(13)-converted value,6,>75%,1 Suburban,2018
United States of America,Athens,2014,(14)-converted value,8,NA,-,2016
United States of America,Athens-Clarke County,2014,(19)-converted value,10,NA,-,2016
United States of America,Atlanta,2016,(23)-converted value,11,>75%,1 Urban And Center City,2018
United States of America,Atlanta-Sandy Springs-Marietta,2014,(19)-converted value,10,NA,-,2016
United States of America,Atlantic City,2014,(14)-converted value,8,NA,-,2016
United States of America,Auburn,2016,(12)-converted value,6,>75%,1 Suburban,2018
United States of America,Augusta-Richmond County,2014,(18)-converted value,10,NA,-,2016
United States of America,Augusta-Waterville,2014,(13)-converted value,7,NA,-,2016
United States of America,Austin-Round Rock,2014,(17)-converted value,9,NA,-,2016
United States of America,Bakersfield,2014,(37)-converted value,18,50% -< 75%,1 Urban And Center City,2018
United States of America,Baltimore,2016,(18)-converted value,8,>75%,1 Urban And Center City,2018
United States of America,Baltimore-Towson,2014,(18)-converted value,10,NA,-,2016
United States of America,Bangor,2015,(14)-converted value,7,>75%,1 Urban And Center City,2018
United States of America,Banning,2016,(18)-converted value,8,50% -< 75%,1 Rural,2018
United States of America,Baraboo,2014,(14)-converted value,7,NA,-,2016
United States of America,Baton Rouge,2016,(22)-converted value,10,50% -< 75%,1 Urban And Center City,2018
United States of America,Battlement Mesa,2014,(8)-converted value,4,>75%,1 Suburban,2018
United States of America,Bay City,2014,(15)-converted value,8,NA,-,2016
United States of America,Bayport,2016,(13)-converted value,6,50% -< 75%,2 Suburban,2018
United States of America,Beaver Dam,2014,(16)-converted value,8,NA,-,2016
United States of America,Beaver Falls,2016,(18)-converted value,9,>75%,1 Urban And Center City,2018
United States of America,Bellevue,2016,(16)-converted value,8,>75%,1 Suburban,2018
United States of America,Bellingham,2014,(16)-converted value,8,>75%,1 Suburban,2018
United States of America,Bennington,2016,(10)-converted value,5,>75%,1 Rural,2018
United States of America,Birmingham-Hoover,2014,(20)-converted value,11,NA,-,2016
United States of America,Bishop,2014,(15)-converted value,8,NA,-,2016
United States of America,Bismarck,2014,(8)-converted value,4,NA,-,2016
United States of America,Blaine,2016,(13)-converted value,6,50% -< 75%,1 Suburban,2018
United States of America,Bloomington,2016,(14)-converted value,7,50% -< 75%,1 Suburban,2018
United States of America,Blue Ash,2016,(19)-converted value,9,50% -< 75%,1 Suburban,2018
United States of America,Boone,2014,(13)-converted value,7,NA,-,2016
United States of America,Boston,2016,(14)-converted value,7,50% -< 75%,3 Urban And Center City,2018
United States of America,Boston-Cambridge-Quincy,2014,(12)-converted value,7,NA,-,2016
United States of America,Boulder,2014,(13)-converted value,7,NA,-,2016
United States of America,Boulevard,2016,(10)-converted value,5,>75%,1 Rural,2018
United States of America,Bountiful,2016,(17)-converted value,8,50% -< 75%,1 Suburban,2018
United States of America,Bowling Green,2014,(17)-converted value,9,NA,-,2016
United States of America,Brainerd,2016,(12)-converted value,6,>75%,1 Rural,2018
United States of America,Bremerton,2016,(9)-converted value,4,>75%,1 Suburban,2018
United States of America,Bremerton-Silverdale,2014,(9)-converted value,5,NA,-,2016
United States of America,Bridgeport,2016,(18)-converted value,9,50% -< 75%,1 Urban And Center City,2018
United States of America,Bridgeport-Stamford-Norwalk,2014,(15)-converted value,8,NA,-,2016
United States of America,Brigham City,2014,(12)-converted value,6,>75%,1 Suburban,2018
United States of America,Bristol,2015,(23)-converted value,11,>75%,1 Suburban,2018
United States of America,Brockton,2016,(12)-converted value,6,50% -< 75%,1 Suburban,2018
United States of America,Brunswick,2016,(16)-converted value,8,>75%,1 Suburban,2018
United States of America,Bryson City (Rr Name Bryson),2016,(19)-converted value,9,>75%,1 Suburban,2018
United States of America,Burlington,2016,(11)-converted value,5,>75%,1 Urban And Center City,2018
United States of America,Burlington-South Burlington,2014,(10)-converted value,5,NA,-,2016
United States of America,Burns,2015,(17)-converted value,8,>75%,1 Urban And Center City,2018
United States of America,Butte-Silver Bow,2014,(17)-converted value,9,NA,-,2016
United States of America,Butte-Silver Bow (Remainder),2016,(16)-converted value,7,50% -< 75%,1 Urban And Center City,2018
United States of America,Cadillac,2014,(10)-converted value,6,NA,-,2016
United States of America,Calexico,2016,(26)-converted value,12,50% -< 75%,1 Suburban,2018
United States of America,Cambridge,2014,(16)-converted value,9,NA,-,2016
United States of America,Camden,2016,(20)-converted value,10,50% -< 75%,1 Urban And Center City,2018
United States of America,Candor,2016,(14)-converted value,6,>75%,1 Rural,2018
United States of America,Canton-Massillon,2014,(21)-converted value,11,NA,-,2016
United States of America,Cape Coral-Fort Myers,2014,(11)-converted value,6,NA,-,2016
United States of America,Carlisle,2016,(17)-converted value,8,>75%,1 Rural,2018
United States of America,Carmel Valley Village,2016,(14)-converted value,7,>75%,1 Suburban,2018
United States of America,Carson City,2016,(9)-converted value,4,50% -< 75%,1 Urban And Center City,2018
United States of America,Casa Grande,2016,(18)-converted value,9,50% -< 75%,1 Urban And Center City,2018
United States of America,Castle Hayne,2016,(12)-converted value,6,50% -< 75%,1 Rural,2018
United States of America,Cedar Rapids,2016,(16)-converted value,8,50% -< 75%,1 Urban And Center City,2018
United States of America,Charleroi,2016,(20)-converted value,9,>75%,1 Suburban,2018
United States of America,Charleston,2016,(15)-converted value,7,>75%,1 Urban And Center City,2018
United States of America,Charleston-North Charleston,2014,(16)-converted value,9,NA,-,2016
United States of America,Charlotte-Gastonia-Concord,2014,(16)-converted value,9,NA,-,2016
United States of America,Charlottesville,2014,(14)-converted value,7,NA,-,2016
United States of America,Chattanooga,2014,(17)-converted value,9,NA,-,2016
United States of America,Chester,2016,(23)-converted value,11,>75%,1 Urban And Center City,2018
United States of America,Cheyenne,2014,(7)-converted value,4,NA,-,2016
United States of America,Chicago-Naperville-Joliet,2014,(22)-converted value,12,NA,-,2016
United States of America,Chico,2016,(16)-converted value,8,>75%,1 Suburban,2018
United States of America,Cincinnati-Middletown,2014,(19)-converted value,10,NA,-,2016
United States of America,Clarksburg,2014,(16)-converted value,9,NA,-,2016
United States of America,Clarksville,2016,(16)-converted value,8,>75%,1 Suburban,2018
United States of America,Clearlake,2014,(8)-converted value,4,NA,-,2016
United States of America,Cleveland,2016,(20)-converted value,10,50% -< 75%,1 Urban And Center City,2018
United States of America,Cleveland-Elyria-Mentor,2014,(19)-converted value,10,NA,-,2016
United States of America,Clinton,2016,(17)-converted value,8,>75%,"1 Suburban, 1 Urban And Center City",2018
United States of America,Cloquet,2016,(11)-converted value,5,>75%,1 Rural,2018
United States of America,Clovis,2016,(25)-converted value,12,50% -< 75%,1 Urban And Center City,2018
United States of America,Cockeysville,2016,(14)-converted value,7,50% -< 75%,1 Suburban,2018
United States of America,Coconut Creek,2016,(12)-converted value,6,>75%,1 Suburban,2018
United States of America,Colorado Springs,2014,(11)-converted value,6,NA,-,2016
United States of America,Columbia,2015,(18)-converted value,8,>75%,1 Urban And Center City,2018
United States of America,Columbia Falls,2016,(11)-converted value,6,>75%,1 Suburban,2018
United States of America,Columbus,2015,(20)-converted value,10,50% -< 75%,1 Suburban,2018
United States of America,Colusa,2014,(13)-converted value,7,NA,-,2016
United States of America,Concord,2016,(12)-converted value,6,>75%,1 Suburban,2018
United States of America,Cookeville,2014,(16)-converted value,9,NA,-,2016
United States of America,Corning,2014,(11)-converted value,6,NA,-,2016
United States of America,Cornwall,2016,(11)-converted value,5,50% -< 75%,1 Rural,2018
United States of America,Corpus Christi,2014,(18)-converted value,10,NA,-,2016
United States of America,Cortina Indian Rancheria,2014,(14)-converted value,7,>75%,1 Rural,2018
United States of America,Crossett,2014,(16)-converted value,9,NA,-,2016
United States of America,Dale,2014,(20)-converted value,11,NA,-,2016
United States of America,Dallas,2016,(17)-converted value,8,>75%,1 Urban And Center City,2018
United States of America,Dallas-Fort Worth-Arlington,2014,(18)-converted value,10,NA,-,2016
United States of America,Daphne-Fairhope-Foley,2014,(16)-converted value,9,NA,-,2016
United States of America,Darrington,2016,(11)-converted value,6,>75%,1 Urban And Center City,2018
United States of America,Davenport,2016,(17)-converted value,8,50% -< 75%,2 Urban And Center City,2018
United States of America,Davenport-Moline-Rock Island,2014,(18)-converted value,10,NA,-,2016
United States of America,Davie,2016,(12)-converted value,6,50% -< 75%,1 Suburban,2018
United States of America,Dayton,2014,(17)-converted value,9,NA,-,2016
United States of America,Decatur,2014,(17)-converted value,9,NA,-,2016
United States of America,Deer Park,2016,(17)-converted value,8,50% -< 75%,1 Urban And Center City,2018
United States of America,Delaware City,2014,(20)-converted value,10,>75%,1 Rural,2018
United States of America,Denver,2016,(17)-converted value,8,>75%,3 Urban And Center City,2018
United States of America,Denver-Aurora,2014,(13)-converted value,7,NA,-,2016
United States of America,Des Moines,2016,(15)-converted value,7,50% -< 75%,1 Urban And Center City,2018
United States of America,Des Moines-West Des Moines,2014,(16)-converted value,8,NA,-,2016
United States of America,Detroit,2016,(18)-converted value,8,>75%,1 Urban And Center City,2018
United States of America,Detroit Lakes,2016,(8)-converted value,4,>75%,1 Rural,2018
United States of America,Detroit-Warren-Livonia,2014,(18)-converted value,10,NA,-,2016
United States of America,Dickinson,2014,(8)-converted value,4,NA,-,2016
United States of America,Douglas,2015,(11)-converted value,5,>75%,1 Urban And Center City,2018
United States of America,Dover,2014,(15)-converted value,8,NA,-,2016
United States of America,Duluth,2016,(11)-converted value,5,>75%,1 Suburban,2018
United States of America,Durham,2016,(18)-converted value,9,50% -< 75%,1 Suburban,2018
United States of America,Dyersburg,2014,(17)-converted value,9,NA,-,2016
United States of America,East Brunswick,2016,(16)-converted value,8,50% -< 75%,1 Rural,2018
United States of America,East Hartford,2016,(14)-converted value,7,50% -< 75%,1 Suburban,2018
United States of America,East Highland Park,2016,(15)-converted value,7,50% -< 75%,1 Suburban,2018
United States of America,East Providence,2016,(14)-converted value,7,>75%,1 Suburban,2018
United States of America,East Stroudsburg,2014,(16)-converted value,9,NA,-,2016
United States of America,East Syracuse,2016,(11)-converted value,5,50% -< 75%,1 Suburban,2018
United States of America,Eau Claire,2014,(15)-converted value,8,NA,-,2016
United States of America,Edgewood,2016,(16)-converted value,8,>75%,1 Rural,2018
United States of America,El Centro,2014,(19)-converted value,10,NA,-,2016
United States of America,El Dorado,2014,(17)-converted value,9,NA,-,2016
United States of America,El Paso,2016,(20)-converted value,10,>75%,1 Urban And Center City,2018
United States of America,Elizabeth,2016,(20)-converted value,10,50% -< 75%,1 Suburban,2018
United States of America,Elizabethtown,2014,(19)-converted value,10,NA,-,2016
United States of America,Elkhart,2016,(18)-converted value,9,50% -< 75%,1 Suburban,2018
United States of America,Elkhart-Goshen,2014,(28)-converted value,15,NA,-,2016
United States of America,Emmetsburg,2014,(14)-converted value,8,NA,-,2016
United States of America,Erie,2016,(16)-converted value,8,>75%,1 Suburban,2018
United States of America,Eugene-Springfield,2014,(14)-converted value,8,NA,-,2016
United States of America,Eureka-Arcata-Fortuna,2014,(8)-converted value,4,NA,-,2016
United States of America,Evansville,2014,(21)-converted value,11,NA,-,2016
United States of America,Fairbanks,2014,(19)-converted value,10,NA,-,2016
United States of America,Fairmont,2014,(18)-converted value,10,NA,-,2016
United States of America,Fall River,2016,(11)-converted value,5,50% -< 75%,1 Suburban,2018
United States of America,Fargo,2014,(9)-converted value,5,NA,-,2016
United States of America,Farmington,2014,(7)-converted value,4,NA,-,2016
United States of America,Farrell,2015,(23)-converted value,11,>75%,1 Urban And Center City,2018
United States of America,Fayetteville,2016,(18)-converted value,8,>75%,1 Urban And Center City,2018
United States of America,Fayetteville-Springdale-Rogers,2014,(16)-converted value,9,NA,-,2016
United States of America,Fishers (Corporate Name For Fishers Station),2016,(18)-converted value,8,50% -< 75%,1 Suburban,2018
United States of America,Flint,2014,(16)-converted value,9,NA,-,2016
United States of America,Florence,2014,(17)-converted value,9,NA,-,2016
United States of America,Florence-Muscle Shoals,2014,(17)-converted value,9,NA,-,2016
United States of America,Folsom,2016,(13)-converted value,6,>75%,1 Suburban,2018
United States of America,Fort Collins,2016,(14)-converted value,7,>75%,1 Urban And Center City,2018
United States of America,Fort Collins-Loveland,2014,(12)-converted value,6,NA,-,2016
United States of America,Fort Lee,2015,(24)-converted value,11,>75%,1 Urban And Center City,2018
United States of America,Fort Madison-Keokuk,2014,(20)-converted value,11,NA,-,2016
United States of America,Fort Smith,2014,(17)-converted value,9,NA,-,2016
United States of America,Fort Wayne,2016,(17)-converted value,8,50% -< 75%,1 Suburban,2018
United States of America,Franklin,2014,(11)-converted value,5,>75%,1 Rural,2018
United States of America,Freemansburg,2016,(17)-converted value,8,>75%,1 Suburban,2018
United States of America,Frenchtown,2016,(18)-converted value,9,>75%,1 Suburban,2018
United States of America,Fresno,2016,(27)-converted value,13,50% -< 75%,1 Urban And Center City,2018
United States of America,Gainesville,2014,(16)-converted value,9,NA,-,2016
United States of America,Galveston,2016,(14)-converted value,6,50% -< 75%,1 Suburban,2018
United States of America,Garden City,2016,(17)-converted value,8,>75%,1 Suburban,2018
United States of America,Gardnerville Ranchos,2016,(14)-converted value,7,>75%,1 Rural,2018
United States of America,Gary,2016,(19)-converted value,9,50% -< 75%,2 Urban And Center City,2018
United States of America,Gillette,2014,(8)-converted value,4,NA,-,2016
United States of America,Gilroy,2016,(12)-converted value,6,>75%,1 Suburban,2018
United States of America,Glendale,2016,(14)-converted value,7,>75%,1 Rural,2018
United States of America,Glenpool,2016,(20)-converted value,10,>75%,1 Rural,2018
United States of America,Goldsboro,2014,(22)-converted value,10,50% -< 75%,1 Urban And Center City,2018
United States of America,Goleta,2015,(17)-converted value,8,>75%,1 Suburban,2018
United States of America,Gordon,2014,(20)-converted value,11,NA,-,2016
United States of America,Grand Island,2014,(12)-converted value,6,NA,-,2016
United States of America,Grand Junction,2016,(13)-converted value,6,>75%,1 Urban And Center City,2018
United States of America,Grand Rapids-Wyoming,2014,(18)-converted value,10,NA,-,2016
United States of America,Grants Pass,2014,(14)-converted value,7,NA,-,2016
United States of America,Grantsville,2015,(11)-converted value,5,>75%,1 Rural,2018
United States of America,Greeley,2014,(14)-converted value,8,NA,-,2016
United States of America,Green Bay,2014,(19)-converted value,9,>75%,1 Urban And Center City,2018
United States of America,Greensboro,2016,(17)-converted value,8,50% -< 75%,1 Urban And Center City,2018
