City or Locality,Measurement Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),lat,lng
Aberdeen (Sd),2011,,15.8,,45.4649,-98.4686
Aberdeen (Sd),2011,,15.8,,46.9757,-123.8094
Aberdeen (Sd),2011,,15.8,,39.5151,-76.1733
Aberdeen (Sd),2011,,15.8,,35.135,-79.4326
Aberdeen (Sd),2011,,15.8,,33.8287,-88.5539
Aberdeen (Sd),2011,,15.8,,42.9441,-112.8384
Aberdeen (Sd),2011,,15.8,,41.4418,-87.1167
Aberdeen (Sd),2011,,15.8,,38.6713,-83.7704
Albany-Schenectady-Troy (Ny),2010,7.9,,,,
Albuquerque (Nm),2010,,23.4,,35.1054,-106.6465
Albuquerque (Nm),2011,6.9,27.95,25.1,35.1054,-106.6465
Albuquerque (Nm),2012,,30.95,,35.1054,-106.6465
Albuquerque (Nm),2013,,27.8,,35.1054,-106.6465
Albuquerque (Nm),2014,,28.77,22.0,35.1054,-106.6465
Albuquerque (Nm),2015,,32.3,20.8,35.1054,-106.6465
Albuquerque (Nm),2016,,33.5,,35.1054,-106.6465
Albuquerque (Nm),2017,,32.0,,35.1054,-106.6465
Albuquerque (Nm),2018,,42.4,,35.1054,-106.6465
Albuquerque (Nm),2019,,18.3,17.7,35.1054,-106.6465
Alexandria (La),2013,7.3,,,38.8185,-77.0861
Alexandria (La),2013,7.3,,,31.2923,-92.4702
Alexandria (La),2013,7.3,,,45.8776,-95.3767
Alexandria (La),2013,7.3,,,38.9621,-84.3859
Alexandria (La),2013,7.3,,,40.263,-85.6737
Alexandria (La),2013,7.3,,,33.7675,-85.8792
Alexandria (La),2013,7.3,,,36.0791,-86.0382
Alexandria (La),2013,7.3,,,43.6541,-97.7798
Alexandria (La),2013,7.3,,,40.09,-82.6118
Alexandria (La),2013,7.3,,,40.5583,-78.0997
Alexandria (La),2013,7.3,,,40.2475,-97.3878
Alexandria (La),2013,7.3,,,40.3598,-91.4595
Allentown-Bethlehem-Easton (Pa-Nj),2010,,,20.1,,
Allentown-Bethlehem-Easton (Pa-Nj),2011,,,26.7,,
Allentown-Bethlehem-Easton (Pa-Nj),2012,,,20.9,,
Allentown-Bethlehem-Easton (Pa-Nj),2013,,,20.8,,
Allentown-Bethlehem-Easton (Pa-Nj),2014,,,20.95,,
Allentown-Bethlehem-Easton (Pa-Nj),2015,,12.9,,,
Allentown-Bethlehem-Easton (Pa-Nj),2016,,11.5,16.5,,
Allentown-Bethlehem-Easton (Pa-Nj),2017,,,19.1,,
Allentown-Bethlehem-Easton (Pa-Nj),2018,,11.3,17.6,,
Allentown-Bethlehem-Easton (Pa-Nj),2019,,,21.1,,
Altoona (Pa),2016,,12.3,,40.5082,-78.4007
Altoona (Pa),2016,,12.3,,41.6483,-93.4783
Altoona (Pa),2016,,12.3,,44.8029,-91.4385
Altoona (Pa),2016,,12.3,,34.0308,-86.3179
Altoona (Pa),2016,,12.3,,37.5249,-95.6615
Altoona (Pa),2016,,12.3,,46.2699,-123.6144
Altoona (Pa),2016,,12.3,,28.9681,-81.6482
Anchorage (Ak),2010,5.55,15.25,,61.1508,-149.1091
Anchorage (Ak),2010,5.55,15.25,,38.2689,-85.5364
Anchorage (Ak),2011,5.08,14.07,,61.1508,-149.1091
Anchorage (Ak),2011,5.08,14.07,,38.2689,-85.5364
Anchorage (Ak),2012,5.5,14.3,,61.1508,-149.1091
Anchorage (Ak),2012,5.5,14.3,,38.2689,-85.5364
Anchorage (Ak),2013,4.88,12.75,,61.1508,-149.1091
Anchorage (Ak),2013,4.88,12.75,,38.2689,-85.5364
Anchorage (Ak),2014,5.45,18.9,,61.1508,-149.1091
Anchorage (Ak),2014,5.45,18.9,,38.2689,-85.5364
Anchorage (Ak),2015,5.47,15.2,,61.1508,-149.1091
Anchorage (Ak),2015,5.47,15.2,,38.2689,-85.5364
Anchorage (Ak),2016,4.97,16.08,,61.1508,-149.1091
Anchorage (Ak),2016,4.97,16.08,,38.2689,-85.5364
Anchorage (Ak),2017,4.65,11.85,,61.1508,-149.1091
Anchorage (Ak),2017,4.65,11.85,,38.2689,-85.5364
Anchorage (Ak),2018,4.53,10.72,,61.1508,-149.1091
Anchorage (Ak),2018,4.53,10.72,,38.2689,-85.5364
Anchorage (Ak),2019,7.35,14.32,,61.1508,-149.1091
Anchorage (Ak),2019,7.35,14.32,,38.2689,-85.5364
Athens-Clarke County (Ga),2010,11.3,,,,
Athens-Clarke County (Ga),2019,9.8,,,,
Atlanta-Sandy Springs-Roswell (Ga),2010,12.2,,25.7,,
Atlanta-Sandy Springs-Roswell (Ga),2011,12.9,,,,
Atlanta-Sandy Springs-Roswell (Ga),2012,10.2,,21.7,,
Atlanta-Sandy Springs-Roswell (Ga),2013,,,17.5,,
Atlanta-Sandy Springs-Roswell (Ga),2014,,17.9,19.8,,
Atlanta-Sandy Springs-Roswell (Ga),2015,,,18.4,,
Atlanta-Sandy Springs-Roswell (Ga),2016,9.9,16.7,19.8,,
Atlanta-Sandy Springs-Roswell (Ga),2017,9.8,,16.4,,
Atlanta-Sandy Springs-Roswell (Ga),2018,9.5,17.1,14.6,,
Atlanta-Sandy Springs-Roswell (Ga),2019,10.8,,17.6,,
Augusta-Richmond County (Ga-Sc),2010,,19.1,,,
Augusta-Richmond County (Ga-Sc),2011,,16.5,,,
Augusta-Richmond County (Ga-Sc),2017,,23.4,,,
Augusta-Waterville (Me),2010,,12.6,,,
Augusta-Waterville (Me),2011,,11.2,,,
Augusta-Waterville (Me),2012,,13.9,,,
Augusta-Waterville (Me),2014,,12.9,,,
Augusta-Waterville (Me),2015,,12.4,,,
Augusta-Waterville (Me),2017,,11.6,,,
Augusta-Waterville (Me),2018,,10.1,,,
Augusta-Waterville (Me),2019,,10.3,,,
Austin-Round Rock (Tx),2010,,13.8,,,
Austin-Round Rock (Tx),2013,,,10.3,,
Austin-Round Rock (Tx),2014,,,9.7,,
Austin-Round Rock (Tx),2016,,,7.8,,
Austin-Round Rock (Tx),2018,,17.5,9.3,,
Austin-Round Rock (Tx),2019,,,9.6,,
Bakersfield (Ca),2010,12.13,26.2,20.43,35.3529,-119.0359
Bakersfield (Ca),2010,12.13,26.2,20.43,44.7821,-72.8032
Bakersfield (Ca),2010,12.13,26.2,20.43,36.5238,-92.1442
Bakersfield (Ca),2011,12.3,23.55,21.03,35.3529,-119.0359
Bakersfield (Ca),2011,12.3,23.55,21.03,44.7821,-72.8032
Bakersfield (Ca),2011,12.3,23.55,21.03,36.5238,-92.1442
Bakersfield (Ca),2012,13.85,24.6,20.75,35.3529,-119.0359
Bakersfield (Ca),2012,13.85,24.6,20.75,44.7821,-72.8032
Bakersfield (Ca),2012,13.85,24.6,20.75,36.5238,-92.1442
Bakersfield (Ca),2013,17.1,28.4,18.35,35.3529,-119.0359
Bakersfield (Ca),2013,17.1,28.4,18.35,44.7821,-72.8032
Bakersfield (Ca),2013,17.1,28.4,18.35,36.5238,-92.1442
Bakersfield (Ca),2014,20.1,19.75,16.15,35.3529,-119.0359
Bakersfield (Ca),2014,20.1,19.75,16.15,44.7821,-72.8032
Bakersfield (Ca),2014,20.1,19.75,16.15,36.5238,-92.1442
Bakersfield (Ca),2015,13.07,31.75,19.2,35.3529,-119.0359
Bakersfield (Ca),2015,13.07,31.75,19.2,44.7821,-72.8032
Bakersfield (Ca),2015,13.07,31.75,19.2,36.5238,-92.1442
Bakersfield (Ca),2016,15.35,28.8,17.57,35.3529,-119.0359
Bakersfield (Ca),2016,15.35,28.8,17.57,44.7821,-72.8032
Bakersfield (Ca),2016,15.35,28.8,17.57,36.5238,-92.1442
Bakersfield (Ca),2017,17.05,27.07,20.45,35.3529,-119.0359
Bakersfield (Ca),2017,17.05,27.07,20.45,44.7821,-72.8032
Bakersfield (Ca),2017,17.05,27.07,20.45,36.5238,-92.1442
Bakersfield (Ca),2018,18.55,41.6,18.2,35.3529,-119.0359
Bakersfield (Ca),2018,18.55,41.6,18.2,44.7821,-72.8032
Bakersfield (Ca),2018,18.55,41.6,18.2,36.5238,-92.1442
Bakersfield (Ca),2019,12.45,24.75,16.17,35.3529,-119.0359
Bakersfield (Ca),2019,12.45,24.75,16.17,44.7821,-72.8032
Bakersfield (Ca),2019,12.45,24.75,16.17,36.5238,-92.1442
Baltimore-Columbia-Towson (Md),2010,,,33.0,,
Baltimore-Columbia-Towson (Md),2011,11.6,,28.75,,
Baltimore-Columbia-Towson (Md),2012,,,26.3,,
Baltimore-Columbia-Towson (Md),2013,,13.4,24.1,,
Baltimore-Columbia-Towson (Md),2014,,,25.05,,
Baltimore-Columbia-Towson (Md),2015,,,25.85,,
Baltimore-Columbia-Towson (Md),2016,,,24.1,,
Baltimore-Columbia-Towson (Md),2017,,,22.15,,
Baltimore-Columbia-Towson (Md),2018,,11.5,,,
Bangor (Me),2011,,13.6,,44.8323,-68.7906
Bangor (Me),2011,,13.6,,40.8678,-75.2085
Bangor (Me),2011,,13.6,,42.312,-86.1135
Bangor (Me),2011,,13.6,,43.8937,-90.9934
Bangor (Me),2011,,13.6,,39.3761,-121.4117
Bangor (Me),2016,,13.1,,44.8323,-68.7906
Bangor (Me),2016,,13.1,,40.8678,-75.2085
Bangor (Me),2016,,13.1,,42.312,-86.1135
Bangor (Me),2016,,13.1,,43.8937,-90.9934
