date, pm25, pm10, o3, no2, so2, co
2024/11/2, 46, , 32, 14, , 
2024/11/3, 45, , 34, 4, , 
2024/11/4, 27, , 31, 13, , 
2024/11/5, 22, , 31, 22, , 
2024/11/6, 43, , 34, 16, , 
2024/11/7, 33, , 27, 20, , 
2024/11/8, 29, , 31, 21, , 
2024/11/9, 38, , 36, 25, , 
2024/11/10, 60, , 47, 24, , 
2024/11/11, 72, , 39, 21, , 
2024/11/12, 64, , 36, 11, , 
2024/11/13, 26, , 36, 20, , 
2024/11/14, 29, , 32, 17, , 
2024/11/15, 35, , 32, 6, , 
2024/11/16, 24, , 31, 6, , 
2024/11/17, 18, , 29, 14, , 
2024/11/18, 27, , 34, 19, , 
2024/11/19, 45, , , , , 
2024/10/2, 54, , 79, 19, , 
2024/10/3, 51, , 63, 19, , 
2024/10/4, 64, , 74, 15, , 
2024/10/5, 73, , 61, 10, 13, 
2024/10/6, 63, , 8, 12, , 
2024/10/7, 61, , 69, 16, , 
2024/10/8, 59, , 45, 17, , 
2024/10/9, 55, , 53, 12, , 
2024/10/10, 65, , 65, 14, , 
2024/10/11, 81, , 55, 18, , 
2024/10/12, 55, , 56, 17, , 
2024/10/13, 61, , 42, 10, , 
2024/10/14, 59, , 37, 7, , 
2024/10/15, 54, , 40, 7, , 
2024/10/16, 64, , 35, 7, , 
2024/10/17, 74, , 36, 5, , 
2024/10/18, 41, , 36, 7, , 
2024/10/19, 24, , 42, 11, , 
2024/10/20, 28, , 49, 16, , 
2024/10/21, 38, , 46, 16, , 
2024/10/22, 32, , 51, 21, , 
2024/10/23, 33, , 69, 22, , 
2024/10/24, 45, , 63, 23, , 
2024/10/25, 58, , 54, 23, , 
2024/10/26, 62, , 57, 18, , 
2024/10/27, 55, , 57, 19, , 
2024/10/28, 70, , 28, 9, , 
2024/10/29, 43, , 32, 8, , 
2024/10/30, 19, , 37, 17, , 
2024/10/31, 36, , 39, 16, , 
2024/11/1, 32, , 39, 19, , 
2024/7/2, 54, , 57, 9, , 
2024/7/3, 52, , 61, 10, , 
2024/7/4, 46, , 60, 7, , 
2024/7/5, 52, , 62, 9, , 
2024/7/6, 137, , 50, 8, , 
2024/7/7, 62, , 47, 6, , 
2024/7/8, 52, , 48, 7, , 
2024/7/9, 48, , 64, 10, , 
2024/7/10, 49, , 68, 11, , 
2024/7/11, 56, , 64, 11, , 
2024/7/12, 55, , 41, 8, , 
2024/7/13, 63, , 50, 6, , 
2024/7/14, 57, , 45, 6, , 
2024/7/15, 53, , 46, 6, , 
2024/7/16, 41, , 46, 8, , 
2024/7/17, 38, , 54, 8, , 
2024/7/18, 39, , 56, 7, , 
2024/7/19, 47, , 67, 9, , 
2024/7/20, 52, , 60, 10, , 
2024/7/21, 46, , 49, 8, , 
2024/7/22, 49, , 50, 9, , 
2024/7/23, 48, , 53, 8, , 
2024/7/24, 46, , 51, 9, , 
2024/7/25, 47, , 54, 11, , 
2024/7/26, 56, , 56, 9, , 
2024/7/27, 47, , 44, 8, , 
2024/7/28, 56, , 45, 7, , 
2024/7/29, 39, , 44, 9, , 
2024/7/30, 34, , 53, 10, , 
2024/7/31, 42, , 53, 11, , 
2024/8/1, 47, , 57, 12, , 
2024/8/2, 46, , 72, 11, , 
2024/8/3, 49, , 61, 12, , 
